"N","WEB","Website Bookings         ","11/11/2017","09:00:00","11/10/2017","2","11/12/2017","09:00:00","A0983","03:08:27","5","02","Covered Parking","naveed.saghir@chauntry.com                        ","NAVEED","N","MR","002","Indoor Self Park","0000000000","","Y","N","","","0","","SAGHIR"
"A","WEB","Website Bookings         ","11/18/2017","09:00:00","11/10/2017","2","11/19/2017","09:00:00","A0983","03:08:27","5","02","Covered Parking","naveed.saghir@chauntry.com                        ","NAVEED"," ","MR","002","Indoor Self Park","0000000000","","Y","N","","","0","","SAGHIR"
"C","WEB","Website Bookings         ","11/18/2017","09:00:00","11/10/2017","2","11/19/2017","09:00:00","A0983","03:08:27","0","02","Covered Parking","naveed.saghir@chauntry.com                        ","NAVEED"," ","MR","002","Indoor Self Park","0000000000","","Y","N","","","0","","SAGHIR"
"N","WEB","Website Bookings         ","11/15/2017","10:00:00","11/13/2017","2","11/16/2017","10:00:00","A0984","22:20:17","5","02","Covered Parking","mailboxjp6@gmail.com                              ","JACK","J","MR","002","Indoor Self Park","0000000000","","Y","N","","","0","","TEST"
"N","WEB","Website Bookings         ","11/27/2017","10:00:00","11/13/2017","3","11/29/2017","23:00:00","A0985","22:33:51","59.94","01","Valet Parking","mailboxjp6@gmail.com                              ","JACK","J","MR","V1","1. Valet Parking at $18.50/day","0000000000","","Y","N","","","0","","TEST"
"N","WEB","Website Bookings         ","11/17/2017","00:01:00","11/16/2017","2","11/18/2017","23:59:00","A0986","03:44:03","10","02","Covered Parking","antonio.peis@chauntry.com                         ","ANTONIO","A","MR","002","Indoor Self Park","0000000000","","N","N","","","0","","FILLI"
"N","WEB","Website Bookings         ","11/17/2017","00:01:00","11/16/2017","2","11/18/2017","23:59:00","A0987","04:33:21","10","02","Covered Parking","antonio.peis@chauntry.com                         ","ANTONIO","A","MR","002","Indoor Self Park","0000000000","","N","N","","","0","","FILLI"
"N","WEB","Website Bookings         ","11/20/2017","11:00:00","11/17/2017","2","11/21/2017","11:00:00","A0988","12:17:44","5","02","Covered Parking","naveed.saghir@chauntry.com                        ","NAVEED","N","MR","002","Indoor Self Park","0000000000","","Y","N","","","0","","SAGHIR"
"N","WEB","Website Bookings         ","11/21/2017","09:00:00","11/17/2017","4","11/24/2017","09:30:00","A0989","12:18:59","79.92","01","Valet Parking","naveed.saghir@chauntry.com                        ","NAVEED","N","MR","V1","1. Valet Parking at $18.50/day","0000000000","","Y","N","","","0","","SAGHIR"
"N","WEB","Website Bookings         ","11/21/2017","10:00:00","11/17/2017","2","11/22/2017","10:00:00","A0990","12:20:04","19.98","01","Valet Parking","naveed.saghir@chauntry.com                        ","NAVEED","N","MR","V1","1. Valet Parking at $18.50/day","0000000000","","Y","N","","","0","","SAGHIR"
"N","WEB","Website Bookings         ","11/23/2017","09:00:00","11/17/2017","3","11/25/2017","09:00:00","A0991","12:22:05","39.96","01","Valet Parking","naveed.saghir@chauntry.com                        ","NAVEED","N","MR","V1","1. Valet Parking at $18.50/day","0000000000","","Y","N","","","0","","SAGHIR"
"N","WEB","Website Bookings         ","11/22/2017","07:00:00","11/21/2017","2","11/23/2017","07:00:00","A0992","04:17:17","19.98","01","Valet Parking","naveed.saghir@chauntry.com                        ","NAVEED","N","MR","V1","1. Valet Parking at $18.50/day","0000000000","","N","N","","","0","","SAGHIR"
"N","WEB","Website Bookings         ","12/06/2017","11:00:00","11/29/2017","2","12/07/2017","11:00:00","A0993","23:24:54","5","02","Covered Parking","beta@forumre.com                                  ","BETA","B","MR","002","Indoor Self Park","0000000000","","N","N","","","0","","PARKDIA"
"N","WEB","Website Bookings         ","12/01/2017","10:00:00","11/30/2017","2","12/02/2017","10:00:00","A0994","10:27:14","19.98","01","Valet Parking","naveed.saghir@chauntry.com                        ","NAVEED","N","MR","V1","1. Valet Parking at $18.50/day","0000000000","","N","N","","","0","","SAGHIR"
